number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mean_mae,user_attrs_mean_r2,state
0,2.8581631791660644,2026-05-10 20:10:17.651105,2026-05-10 20:10:17.832602,0 days 00:00:00.181497,0.6624074561769746,0.11616722433639892,0.17254716573280354,4,2.403950683025824,534,0.8661761457749352,3.027182927734624,0.8394633936788146,2.235682648047805,-1.4682598145048673,COMPLETE
1,3.0224618560268914,2026-05-10 20:10:17.832940,2026-05-10 20:10:18.438068,0 days 00:00:00.605128,0.6849356442713105,0.36680901970686763,0.010636066512540286,6,2.636424704863906,682,0.3042422429595377,2.408207265453542,0.9329770563201687,2.4381668955087665,-1.8121743099673255,COMPLETE
2,2.869943505665191,2026-05-10 20:10:18.438371,2026-05-10 20:10:18.788248,0 days 00:00:00.349877,0.7168578594140872,0.9121399684340719,0.023927528765580634,5,4.297256589643226,459,0.7851759613930136,0.9093929525644108,0.6557975442608167,2.2289655866101383,-1.5977750354150142,COMPLETE
3,3.154737012851931,2026-05-10 20:10:18.788538,2026-05-10 20:10:18.987262,0 days 00:00:00.198724,0.6682096494749166,1.8977710745066665,0.05898602410432694,5,1.5854643368675156,108,0.9656320330745594,5.632733481673017,0.8430179407605753,2.6510469526052476,-1.9951687128871551,COMPLETE
4,2.973932037408331,2026-05-10 20:10:18.987544,2026-05-10 20:10:19.355682,0 days 00:00:00.368138,0.6488152939379115,0.06877704223043679,0.013399060561509796,4,5.456592191001432,504,0.9093204020787821,1.085551727188307,0.7760609974958405,2.336169899255037,-1.8048449918822882,COMPLETE
5,3.686274467134164,2026-05-10 20:10:19.356257,2026-05-10 20:10:19.598887,0 days 00:00:00.242630,0.6739417822102108,1.550265646722229,0.02544166090938368,6,9.726261649881026,402,0.9394989415641891,7.297384471483424,0.8186841117373118,3.0488678783178327,-3.3793697827370357,COMPLETE
6,2.5106165726221166,2026-05-10 20:10:19.599206,2026-05-10 20:10:19.737558,0 days 00:00:00.138352,0.6180909155642152,0.777354579378964,0.15826541904647565,6,3.927972976869379,134,0.2713490317738959,5.986629236379359,0.678393144967658,1.9739106811583043,-0.6343027345696144,COMPLETE
7,3.277084499191002,2026-05-10 20:10:19.737857,2026-05-10 20:10:20.082787,0 days 00:00:00.344930,0.9208787923016158,1.9737738732010346,0.023200867504756816,4,1.6709557931179373,417,0.7722447692966574,0.9067865433891701,0.6563696899899051,2.7001965224742888,-2.622460888692224,COMPLETE
8,2.943044142835391,2026-05-10 20:10:20.083116,2026-05-10 20:10:20.245206,0 days 00:00:00.162090,0.9085081386743783,0.7169314570885452,0.11506408247250169,2,1.6664018656068134,518,0.11586905952512971,6.635802485202448,0.8916028672163949,2.5436095476150515,-1.9258840059967675,COMPLETE
9,3.483764765896699,2026-05-10 20:10:20.245506,2026-05-10 20:10:20.372282,0 days 00:00:00.126776,0.7300733288106988,1.2751149427104262,0.026946865572417697,6,7.566455605042576,119,0.8872127425763265,2.057480777345668,0.7243929286862648,2.8622360706329344,-2.943534687789754,COMPLETE
