feature,importance
hardness_mean,0.1377772
temp_shallow_mean,0.13736327
temp_deep_min,0.116750926
mq137_6hr_change_max,0.09282464
hardness_max,0.05980344
temp_deep_max,0.057820894
rgb_brightness_max,0.030782953
ph_mean,0.024424708
mq137_6hr_change_std,0.023997674
vertical_temp_diff_mean,0.022455852
feeding_amount_lag1,0.022219718
mq135_max,0.021462427
hardness_min,0.019367572
mq135_std,0.018528774
vertical_temp_diff_std,0.017514648
mq137_mean_roll3,0.015610804
vertical_temp_diff_max,0.015355882
rgb_g_min,0.014586737
rgb_g_max,0.014245476
mq137_6hr_change_min,0.012551333
mq135_min,0.010586083
rgb_r_mean,0.009990511
turbidity_min,0.009724701
mq137_6hr_change_mean,0.009643735
death_count_lag1,0.009488717
mq137_std,0.009211058
rgb_b_max,0.00796475
ph_std,0.006960589
rgb_b_min,0.005489264
rgb_r_min,0.0054644193
rgb_g_std,0.004698128
rgb_brightness_mean,0.004429133
temp_shallow_max,0.004341751
ph_range_roll3,0.0041034436
mq137_max,0.003909954
rgb_b_std,0.0036071134
turbidity_mean,0.0033115635
temp_deep_mean,0.003043875
temp_shallow_min,0.0028904616
ph_max,0.0028528569
rgb_brightness_min,0.0028430782
mq135_mean,0.0
ph_min,0.0
medication_given,0.0
feeding_amount,0.0
ph_range,0.0
turbidity_std,0.0
turbidity_max,0.0
rgb_g_mean,0.0
mq137_mean,0.0
rgb_r_max,0.0
rgb_brightness_std,0.0
mq137_min,0.0
vertical_temp_diff_min,0.0
temp_deep_std,0.0
temp_shallow_std,0.0
hardness_std,0.0
rgb_b_mean,0.0
rgb_r_std,0.0
