feature,mean_abs_shap,mean_shap,method
mq137_6hr_change_max,1.0967904,0.60618174,shap.TreeExplainer
temp_deep_min,0.75225204,-0.75225204,shap.TreeExplainer
ph_mean,0.24115688,-0.011628487,shap.TreeExplainer
vertical_temp_diff_max,0.22782852,-0.15263571,shap.TreeExplainer
rgb_b_max,0.2079278,0.046706438,shap.TreeExplainer
vertical_temp_diff_mean,0.17701238,-0.06031039,shap.TreeExplainer
mq135_max,0.15330055,-0.15330055,shap.TreeExplainer
vertical_temp_diff_std,0.14794296,-0.044628497,shap.TreeExplainer
rgb_g_max,0.1434557,-0.05181754,shap.TreeExplainer
mq137_6hr_change_min,0.13819247,0.049786784,shap.TreeExplainer
hardness_mean,0.12680778,-0.12680778,shap.TreeExplainer
mq137_6hr_change_mean,0.116268165,-0.02296687,shap.TreeExplainer
temp_shallow_mean,0.097120754,-0.097120754,shap.TreeExplainer
mq137_max,0.094638735,-0.014074513,shap.TreeExplainer
mq137_std,0.08823251,0.04996008,shap.TreeExplainer
feeding_amount_lag1,0.08460041,-0.013435337,shap.TreeExplainer
hardness_min,0.07236561,-0.07236561,shap.TreeExplainer
temp_deep_max,0.06949247,-0.06949247,shap.TreeExplainer
rgb_brightness_max,0.06809359,0.0016608171,shap.TreeExplainer
mq137_mean_roll3,0.06621709,-0.06621709,shap.TreeExplainer
rgb_g_std,0.06529861,-0.04927219,shap.TreeExplainer
rgb_b_min,0.061367955,-0.013220251,shap.TreeExplainer
rgb_g_min,0.059041083,0.012327259,shap.TreeExplainer
mq135_std,0.051941194,0.0070190807,shap.TreeExplainer
death_count_lag1,0.048362717,0.019925348,shap.TreeExplainer
mq137_6hr_change_std,0.047555503,-0.02674997,shap.TreeExplainer
mq135_min,0.04712478,-0.04712478,shap.TreeExplainer
rgb_r_min,0.040073022,0.022649964,shap.TreeExplainer
rgb_r_mean,0.0386982,0.009913933,shap.TreeExplainer
hardness_max,0.03501639,-0.03501639,shap.TreeExplainer
ph_range_roll3,0.029421238,-0.0057085995,shap.TreeExplainer
turbidity_mean,0.027821302,-0.023174334,shap.TreeExplainer
temp_deep_mean,0.025903367,0.021509208,shap.TreeExplainer
rgb_brightness_mean,0.0209958,0.005185197,shap.TreeExplainer
temp_shallow_max,0.02047543,0.02047543,shap.TreeExplainer
rgb_brightness_min,0.018190248,-0.000104972925,shap.TreeExplainer
ph_max,0.017937424,0.0056874766,shap.TreeExplainer
turbidity_min,0.016165165,0.005207613,shap.TreeExplainer
ph_std,0.014362395,-0.0036991348,shap.TreeExplainer
rgb_b_std,0.010796777,-0.010796777,shap.TreeExplainer
temp_shallow_min,0.008339408,-0.008339408,shap.TreeExplainer
ph_min,0.0,0.0,shap.TreeExplainer
medication_given,0.0,0.0,shap.TreeExplainer
feeding_amount,0.0,0.0,shap.TreeExplainer
ph_range,0.0,0.0,shap.TreeExplainer
turbidity_std,0.0,0.0,shap.TreeExplainer
turbidity_max,0.0,0.0,shap.TreeExplainer
rgb_r_max,0.0,0.0,shap.TreeExplainer
rgb_brightness_std,0.0,0.0,shap.TreeExplainer
mq135_mean,0.0,0.0,shap.TreeExplainer
mq137_mean,0.0,0.0,shap.TreeExplainer
rgb_g_mean,0.0,0.0,shap.TreeExplainer
vertical_temp_diff_min,0.0,0.0,shap.TreeExplainer
mq137_min,0.0,0.0,shap.TreeExplainer
temp_deep_std,0.0,0.0,shap.TreeExplainer
temp_shallow_std,0.0,0.0,shap.TreeExplainer
rgb_b_mean,0.0,0.0,shap.TreeExplainer
hardness_std,0.0,0.0,shap.TreeExplainer
rgb_r_std,0.0,0.0,shap.TreeExplainer
